dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,wet_dry
CAMELS-US,01487000,1287,0.8268220420443713,0.58350194,0.5248404,0.20471106469631195,0.08207792043685913,0.03259215415540717,-0.06459477086035847,-0.25564051893946016,0.01795626413327034,-0.6809477588167343,0.1911157089639126,2.4941063760721374
CAMELS-US,01491000,1222,0.6619587239378194,0.37191796,0.29590553,0.7547791004180908,0.16049084067344666,0.35691978976867367,0.01942417525957696,-0.08938765603334575,0.029629273923750588,-0.4590948315402117,0.18810116749714217,4.702941907780596
CAMELS-US,01510000,1130,0.7192607080653926,0.4629296,0.38602167,0.5407271981239319,0.12085281312465668,0.3866609686468626,0.25743372600282044,0.2676871767919893,0.03218169901620038,-0.01161619392626978,0.3314585241424155,4.474262403525396
CAMELS-US,01516500,1287,0.5388251602552231,0.24423033,0.024376094,0.8800615668296814,0.21168428659439087,-0.5109627614750325,-0.11469672368730088,-0.03710681516832803,-0.03907673310312254,-0.44951324409253,0.2802896807947957,4.157425102204072
CAMELS-US,01518862,1236,0.5936786988115228,0.3586756,0.124821424,0.719650149345398,0.14125528931617737,0.30866444680082694,0.23361906080495864,0.19053230455649417,0.0017168979516533067,0.0005070753585008081,0.3132128611792305,5.09467753617761
CAMELS-US,01532000,1237,0.5597415765781687,0.26798934,0.082521975,0.9178207516670227,0.1506345272064209,-1.7737148940904537,-0.43265684390542525,-0.08917286467363028,-0.1696065716038715,-1.9764899977858748,0.25081399275563493,6.093030387444267
CAMELS-US,01539000,1314,0.6161561900035539,0.3981853,0.20725423,0.7107850313186646,0.10872798413038254,-5.338001981887138,-1.0437437082022019,-1.8591501708640807,-0.2645826812198162,-6.902705905215699,0.30788392750296584,6.537277748719388
CAMELS-US,01542810,1291,0.586843889018732,0.54294,0.44053483,0.6012847423553467,0.1527641862630844,0.34505916519316326,0.25606717107878196,0.23328803318889302,0.028292310989361247,-0.11914558990954371,0.2578912251385468,3.9360321097762925
CAMELS-US,01543000,1314,0.6660131643913482,0.6569402,0.6298829,0.4602786600589752,0.11967366933822632,0.3892569651914247,0.3274278272331086,0.36945290030818034,0.035777513104515934,-0.05636445579890603,0.2982687487562606,3.8461147101466238
CAMELS-US,01543500,1314,0.7590976759315567,0.66650474,0.63705575,0.41873058676719666,0.11006200313568115,0.3368037826517949,0.2689708863577044,0.2693937810664525,0.018298166442361374,-0.031306458490598654,0.27494682674667686,3.804497236444062
CAMELS-US,01544500,1314,0.8225657676200022,0.72393215,0.70506513,0.38073551654815674,0.12005738914012909,0.3252775364284982,0.2002962780197609,0.22370865914593596,-0.025863877214231223,-0.11225677549880198,0.2385588780931937,3.1712793296193396
CAMELS-US,01545600,1314,0.8448473394186726,0.70160913,0.69326234,0.36469024419784546,0.08991452306509018,0.2970701906770634,0.1763088215101587,0.17245238199972757,0.0033699977988423946,-0.03587588498899952,0.30115810069105425,4.055965952617487
CAMELS-US,01547700,1314,0.6904717164813441,0.48199457,0.34374672,0.5541499853134155,0.1263817399740219,0.37090269923636066,-0.031622887464644256,-0.05287769956211874,-0.0064513678784148265,-0.1591436880476631,0.2964863349008857,4.384731413156065
CAMELS-US,01548500,1269,0.8241647408540214,0.6680941,0.64788735,0.39748889207839966,0.11342006921768188,0.3759458339857745,0.24160344237763987,0.2660769383183603,-0.002491455300727363,-0.05778795529648617,0.2629021675375421,3.5045728222535084
CAMELS-US,01549500,1269,0.6621246986615361,0.40383595,0.29179794,0.6719067096710205,0.12117577344179153,-0.028135417736162127,-0.0739541535625785,-0.07078397150437588,-0.021080046936123198,-0.0397950904588098,0.2801380823130804,5.5448930969174315
CAMELS-US,01550000,1289,0.6346253583874133,0.3986352,0.23443615,0.6607384085655212,0.11736606061458588,-0.14181966911982435,-0.18629008800353586,-0.001325646598487884,-0.028337004245373665,-0.8820938637617393,0.27321237433767254,5.6297229804389195
CAMELS-US,01552000,1311,0.6029991626818777,0.35341734,0.19195443,0.7374571561813354,0.12947681546211243,-2.5753224621560173,-0.3607045519837462,-0.23033121018260094,-0.21311391732982776,-1.2858212258129242,0.26938538106015075,5.695669557127242
CAMELS-US,01552500,1314,0.5391793725808894,0.3366891,0.13325602,0.6824949979782104,0.13211067020893097,0.11781634395785334,0.15390241406056326,-0.02823825129816182,-0.2868527141739552,-0.42722727052700504,0.322293877164757,5.166085350251083
CAMELS-US,01557500,1314,0.7039430894622557,0.5306187,0.40681076,0.5174610018730164,0.10825538635253906,0.3895893178435288,0.3518042819884055,0.39959121164163924,0.036575807225721624,-0.07321323287557369,0.3507548906229196,4.78000235653752
CAMELS-US,01567500,1314,0.45567092030388867,0.19899207,-0.17272282,0.7538658380508423,0.13622444868087769,0.18505362553322047,0.05194540552038862,-0.051620777636126824,-0.06714942293368531,-0.5374674443626755,0.27787498703940133,5.533998084417758
CAMELS-US,01568000,1283,0.5612159853494696,0.2728626,0.021858037,0.7337156534194946,0.11718045920133591,0.42136520953829315,0.28607139999299225,0.11738087778493134,-0.00904164458187462,-0.18826549332922382,0.2910059993290334,6.261416437691601
CAMELS-US,01580000,1298,0.5311645696237495,0.22229362,0.051889956,0.5833926796913147,0.07723676413297653,0.6766688211202783,0.3400862019845291,-0.005452008558933796,0.009757473623732582,-0.18541924287303013,0.3796260723851308,7.553302967054687
CAMELS-US,01583500,1222,0.45307026622460067,0.14190394,-0.1291548,0.7075914144515991,0.06739836186170578,0.5710666203905008,0.5277829682452753,0.34756060729668736,-0.01230915711949332,-0.06619918053939933,0.35478384744053953,10.49864410508227
CAMELS-US,01586610,1222,0.511377111307421,0.21274829,-0.036666393,0.6765043139457703,0.07360363006591797,0.4861238302896391,0.41402805701122425,0.22802502996332596,0.006321839279197716,-0.019588673245470645,0.3314187648045951,9.191181377058527
CAMELS-US,01591400,1223,0.38088386473151525,0.09897965,-0.2746359,0.9339395761489868,0.08057978004217148,0.3979479274291894,0.39893006805324216,0.22327204205831097,-0.009095912692995478,-0.039540730194239426,0.33499953958069406,11.590247276180314
CAMELS-US,01594950,1222,0.7680998703614081,0.5624257,0.50918067,0.4602274000644684,0.12164463847875595,0.3441480283677647,0.25590092595656744,0.22852978748801978,0.04176351562711078,-0.021563647591527513,0.32799429996444907,3.783375953267703
CAMELS-US,01596500,1222,0.758467220493194,0.52554774,0.39553475,0.5554665327072144,0.1746283918619156,0.3301483522318035,0.22936080165780448,0.24407949049418953,0.013102468045925963,-0.022441236896268313,0.27394751931116806,3.1808489260236676
CAMELS-US,01605500,879,0.6689463091421782,0.5506981,0.46868628,0.4524328410625458,0.09755516052246094,0.3470302492881322,0.2961275392560645,0.23802418651498092,0.02277205632759116,0.01738210669957363,0.2543727557757334,4.637713050130017
CAMELS-US,01606500,892,0.703313032667382,0.53944755,0.41285908,0.39317283034324646,0.11384223401546478,0.2578608075181382,0.2332051015884965,0.29859727074467757,-0.01818191374655065,-0.044236929028388605,0.2160469452375359,3.4536640443109743
CAMELS-US,01613050,1314,0.6939396823210954,0.50475913,0.36352986,0.6522037386894226,0.1453513652086258,-0.11972853974499409,-0.4914543259576878,-0.5204162048116752,-0.03321645140541252,-0.5926925639500462,0.25856493371970024,4.487083679973018
CAMELS-US,01620500,1257,0.6323681512116767,0.47208506,0.33267772,0.652327835559845,0.1303405910730362,0.33452025169997635,0.20395024831756658,0.20320552288983218,0.004304411317268553,-0.028426675884938524,0.1733238819986788,5.0047942102266045
CAMELS-US,01632000,920,0.599126939535646,0.33995837,0.13617414,0.9427490234375,0.15298116207122803,0.2803275480368811,0.17996705896731813,0.16117997986274724,0.011359039814412553,-0.051724509991777134,0.20151494016444738,6.16251707513214
CAMELS-US,01632900,879,0.6208743454824546,0.37222427,0.13893169,0.5073206424713135,0.08725982904434204,0.3399243647338256,0.20611797367134888,0.19717887256328104,0.01414766897944153,-0.003535198878869883,0.2749095149292514,5.813908278613667
CAMELS-US,01634500,1236,0.4763510714857301,0.16095859,-0.26331723,0.847854495048523,0.1491926908493042,0.552423158481948,0.21364639422244547,0.12550791268871142,-0.00630022741437819,-0.06177180823201289,0.27593390360433956,5.682949280034902
CAMELS-US,01638480,1237,0.493584862850554,0.21758461,-0.105739355,1.0361390113830566,0.1317996084690094,0.3943488659175205,0.3035774785913842,0.1721811776879243,-0.009497610129171496,-0.051816336448931466,0.2834758253221245,7.861472605411331
CAMELS-US,01639500,1314,0.48722069390144246,0.19837391,-0.07190335,0.875012993812561,0.10334049165248871,0.4899682497597956,0.28297938524232946,-0.021095693568608187,-0.00035966081400062855,-0.5648124634445522,0.35650468297226384,8.467281119147728
CAMELS-US,01644000,1237,0.5222536157115976,0.2255016,-0.13022733,0.8251283168792725,0.11041967570781708,0.288272860840066,0.3981952385260268,0.4246851635439156,-0.016005651281699507,-0.49860877130781156,0.2989241989504737,7.47265658579414
CAMELS-US,01658500,1298,0.3860808548607496,0.12967587,-0.29531515,1.5322593450546265,0.1401955783367157,0.3620660791957696,0.20062134900966233,0.17832753766241027,0.012554228673421597,-0.013780401946704712,0.3935906291808237,10.92944130787429
CAMELS-US,01664000,1297,0.660596757708377,0.3999074,0.28483146,0.6372015476226807,0.11376267671585083,0.5526096630483264,0.549237344720365,0.49134671394857354,0.014519571657496844,-0.017638931782570477,0.29926629455849285,5.601147634863077
CAMELS-US,01666500,1297,0.4668154196473057,0.20816529,-0.1667229,0.6673445701599121,0.09294714778661728,0.5278940645784009,0.38708101600620537,0.3372094329499973,0.01481791730063553,-0.010710694245485763,0.339177331346972,7.179828386901806
CAMELS-US,01667500,1293,0.5456524922012663,0.26595974,0.0031202435,0.6796355247497559,0.10141223669052124,0.5366360530200428,0.46873118360925115,0.4070733471531117,0.018111510192838742,-0.021056296640699745,0.33532979068928925,6.701711222717561
CAMELS-US,01669000,1228,0.6610520146603962,0.36457264,0.24783516,0.6866793632507324,0.15011537075042725,-0.5160220275523071,-0.2698512979342558,-0.4866347698664102,-0.20639840483223337,-0.4428958472857616,0.2659550759339329,4.574344118247319
CAMELS-US,01669520,1235,0.86309074434392,0.6737007,0.7110909,0.3091743290424347,0.13334931433200836,-0.6714987844680866,-1.0366760957806669,-1.0965422250107935,-0.16481426483113748,-1.1778349590892958,0.20334301665773893,2.3185295746828025
CAMELS-US,02011400,1256,0.6997416125820106,0.51076746,0.4286638,0.5344317555427551,0.10000216215848923,0.4448515195023398,0.35017223230718175,0.2829950766504037,0.030810586014246688,-0.034666828857814025,0.2897199639567627,5.344202005310212
CAMELS-US,02011460,1256,0.5741588055692948,0.44214612,0.27033913,0.713309645652771,0.13362464308738708,0.5041470055063886,0.33501655362302196,0.15224887978961676,-0.01963059041328319,-0.07935490425182601,0.27845739885071924,5.338159408113703
CAMELS-US,02013000,1314,0.5488840580631155,0.28877878,0.0630995,0.7949900031089783,0.14521387219429016,0.2994212929711051,0.1735906081990758,0.1739733956635453,0.014907144908478553,-0.009741526502092368,0.24396874961463474,5.4746147258253295
CAMELS-US,02014000,1314,0.6961784150517301,0.4735505,0.3892975,0.5299760699272156,0.10424669086933136,0.3821736936662923,0.2834932309,0.1667950733193555,-0.028037437062781168,-0.05698307006017078,0.2981277915911685,5.083864682011991
CAMELS-US,02015700,1283,0.5518139686433152,0.34031802,0.17683053,0.6492968797683716,0.11153404414653778,0.41670351419710805,0.38571886568159053,0.23778452501758907,0.016151001148511868,-0.031161564545177045,0.2853398248066194,5.821512926719486
CAMELS-US,02016000,1222,0.6386975094683673,0.4094559,0.26022154,0.6531074643135071,0.12004515528678894,0.4522450264137188,0.43935695264399655,0.431198207835808,0.030553975367874187,-0.012589970715655818,0.2517547068366886,5.4405149691649575
CAMELS-US,02017500,1228,0.7472424475426143,0.5956318,0.54957,0.4893477261066437,0.10624100267887115,0.41139663729661935,0.3251073542924373,0.26732078434867823,0.023950733309409444,-0.006167811043411797,0.2609374661242214,4.606015697967085
CAMELS-US,02018000,1222,0.7183972370507566,0.4488532,0.36059672,0.5346238613128662,0.11134888231754303,0.3193612671234791,0.31327316920712334,0.2314469710850502,0.011027671403113892,0.005343405293330217,0.17884211838794725,4.801340167818067
CAMELS-US,02027000,1286,0.6137632478273575,0.46908832,0.33678865,0.5762590765953064,0.08956409990787506,0.39075906111686165,0.3502246508514195,0.2868941382116056,0.018083111846460498,-0.017975214657004024,0.35702731679395017,6.434040839890559
CAMELS-US,02027500,1285,0.7549916036726435,0.63810754,0.6080029,0.4740893542766571,0.08759990334510803,0.3452737239027672,0.290033978635149,0.1945571709947148,0.021510163066418064,-0.013579182067473106,0.31534726117795314,5.411984901500834
CAMELS-US,02028500,1286,0.5846449614364319,0.39807564,0.18441671,0.5899670720100403,0.0889555811882019,0.49900214893617534,0.4287725905066698,0.34805414459735173,0.01900150781421739,-0.06334670668863196,0.3981064541393222,6.632153532467584
CAMELS-US,02038850,1229,0.3023175061265821,0.098226726,-0.4644171,1.1144524812698364,0.09401829540729523,0.20780714668465416,0.1965124039096504,0.14103199888986273,0.009535852819751445,-0.009704516339500202,0.3594052380211392,11.853570376296803
CAMELS-US,02046000,1314,0.7673231330090426,0.5401335,0.5940714,0.8345093131065369,0.1636628359556198,0.34664174143997395,0.2952940711520322,0.35347434709897685,0.01848056072587856,-0.03098516432576992,0.27034827660143096,5.098954250877269
CAMELS-US,02051000,1286,0.34234826695011594,0.10936719,-0.29611874,1.6041322946548462,0.1685929298400879,0.3387353123657477,0.15710383953419704,0.03040609963664409,0.011382188744630373,-0.02171506543919599,0.37241377625896327,9.514825421068261
CAMELS-US,02051500,1264,0.7307870300757136,0.45313156,0.44685155,0.7699352502822876,0.25943079590797424,0.34824634148649836,0.27150742498206815,0.23469599017785547,0.024357959680536556,-0.0070013862674949134,0.2065346815983868,2.9677866407016706
CAMELS-US,02053200,1314,0.9380647358964912,0.86858046,0.88878393,0.3688851594924927,0.1805182546377182,0.1370078681604262,-0.3362624549277178,0.01948071296922127,0.04759226934284133,-0.01213708674296421,0.19262049338049225,2.043478429551669
CAMELS-US,02053800,1291,0.6591604163481536,0.43773288,0.30886084,0.6003096699714661,0.09633562713861465,0.46136749846895453,0.33564140352068017,0.07198398323026722,0.02223720934785156,-0.08366360842666087,0.3664510837430644,6.231439891990293
CAMELS-US,02055100,1222,0.4062368610862789,0.19984001,-0.23868227,0.6209948658943176,0.11152279376983643,0.1814162045814296,0.08012785553501323,0.04341534844845796,0.004417868445844575,0.002485996557726855,0.32106835609045176,5.568322357274717
CAMELS-US,02056900,1290,0.5331885700642343,0.29281998,0.13656133,0.6012371182441711,0.07629197090864182,0.4480094607920616,0.44583045707654123,0.28365470424252304,0.04573266220293237,-0.12395863790430339,0.3562754931954991,7.88073910115838
CAMELS-US,02059500,1290,0.3700105724720497,0.23800063,-0.030947208,0.6967759728431702,0.08977741003036499,0.41579583777831364,0.3406031463927456,0.14233700153367712,0.024165008528702736,-0.04977060923905419,0.3652456207496076,7.7611503005878975
CAMELS-US,02064000,1297,0.4899690877602529,0.2480371,-0.013621569,0.8977743983268738,0.09402208775281906,0.6582317941069508,0.5295455857018321,0.4195963038724365,0.022830587779795186,-0.09778261908086794,0.3803283111339171,9.548547791100882
CAMELS-US,02065500,1293,0.5175239173206079,0.22801816,-0.017609477,0.8021590709686279,0.11739563196897507,0.1883807514332042,0.14755305515517536,0.10492559840514948,0.0059545530180125095,-0.0012811967748094233,0.38903309005838005,6.832955004498122
CAMELS-US,02069700,1292,0.5780921241055383,0.36054713,0.3489552,0.5304223895072937,0.07178414613008499,0.4892127009300711,0.4186623824075071,0.3250769476837657,0.025281701539488943,-0.18011336477294027,0.42592205776065634,7.389130025257649
CAMELS-US,02070000,1292,0.4013711634941907,0.32573128,0.31912416,0.552001953125,0.07319065928459167,0.47709854171675625,0.2580538247758797,0.30205618322364913,-0.004305573616490976,-0.2560903340939251,0.4171807257023574,7.541972685047383
CAMELS-US,02074500,1229,0.45397650657505184,0.34389418,0.3742454,0.7221867442131042,0.09451845288276672,0.42786616201630534,0.29446425428564194,0.2775558483591316,-0.00763936067641624,-0.128496808313302,0.3527411978987939,7.640695781477169
CAMELS-US,02077200,1222,0.4842707483014616,0.24330318,0.006691098,1.2155524492263794,0.15624582767486572,0.31131009978701674,0.35136752957376793,0.3210307808948273,0.01657391738863656,-0.011525435886383661,0.3229326765415539,7.7797434166103985
