dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_gbt_shuf,wet_dry
CAMELS-US,14092750,1228,0.8371381239496968,0.63709384,0.660865,0.3045348525047302,0.062897227704525,0.28460233092071485,0.1955576934736143,0.018542689249334887,-0.11341934393608089,4.84178498192888
CAMELS-US,14096850,1231,0.92732942123402,0.82963824,0.87147456,0.2623961269855499,0.0324445515871048,0.19581144043712417,0.24457527862806627,0.22046366551917662,-0.035446015095796035,8.087525151367485
CAMELS-US,14137000,1307,0.8032170792393188,0.64461553,0.6670927,0.36834198236465454,0.05505700781941414,0.4972622228791712,0.2725088484705045,0.11413051026694387,-0.09527374902932229,6.690192528675164
CAMELS-US,14138800,1297,0.7463680764333466,0.5249009,0.5133352,0.7379876375198364,0.10080879926681519,0.3078805454131732,0.1378143907882906,-0.02809255142883571,-0.08787896195134914,7.3206668751858786
CAMELS-US,14138870,1229,0.7613287283219335,0.57572114,0.5755868,0.6305397152900696,0.08493046462535858,0.378718350426712,0.19519311874033551,0.07143581127083054,-0.19099612122681253,7.424187752551194
CAMELS-US,14138900,1235,0.7544532996556126,0.51914644,0.5159389,0.6209471821784973,0.07368235290050507,0.32548910460294467,0.11263542801092463,-0.030440794843253016,-0.15907489034520017,8.427352788488937
CAMELS-US,14139800,1241,0.7649513785861936,0.6066085,0.597255,0.5601209998130798,0.07888397574424744,0.49158704213866744,0.2533442539596559,0.2100870872960482,-0.19870563439756772,7.1005675681087395
CAMELS-US,14141500,1314,0.7973879503472852,0.61649823,0.6391982,0.5202147960662842,0.07680567353963852,0.5389066141650016,0.39147077414161646,0.2542077730854312,-0.030363958990196505,6.7731297974726745
CAMELS-US,14154500,1314,0.7610145166474788,0.4990583,0.495695,0.7552741169929504,0.07831108570098877,0.6140833492132031,0.4858213722367358,0.37530075666305207,-0.07811299781497394,9.644536405442969
CAMELS-US,14158500,1314,0.9719075047749731,0.9523004,0.95615405,0.08140990138053894,0.03573925420641899,0.3709040437198461,0.2583853417879465,0.20529000704959433,-0.0987011970779581,2.2778847289409083
