dataset,basin_id,model,NSE,RMSE,tail_RMSE_95,tail_RMSE_99,sigma_obs,mean_obs,sigma_rel_spread,rel_tail95_sigma,rel_tail99_sigma,rel_tail95_mean,rel_tail99_mean
CAMELS-BR,55700000,timesfm,0.9471210431434036,24.450222303250165,76.1306452888201,100.2268202224959,106.32646432026762,118.36198578446604,0.0,0.7160084347346093,0.9426328700313134,0.6432018251827233,0.8467821789084058
CAMELS-BR,55720000,timesfm,0.8999880523902875,19.490062640353525,60.011162093282586,109.78410614976464,61.629308178227106,35.18228945289383,3.4587897711196104e-16,0.9737438869139181,1.7813619752517365,1.7057207767457132,3.1204366701819235
CAMELS-BR,55740000,timesfm,0.928573344788274,30.03471041057929,90.69117924140777,136.5317575524364,112.38110350341567,117.19294404986607,0.0,0.8069966961896875,1.2148995987415865,0.7738621124051488,1.1650168758824047
CAMELS-BR,55744000,timesfm,0.89867675709193,1.935585061382852,7.651277796787286,15.33383612705779,6.080758016469543,9.006564143709149,1.4606376660517021e-16,1.2582769740325201,2.5216981313064215,0.8495223788675846,1.7025178394768972
CAMELS-BR,55746000,timesfm,0.9615188952519216,0.8848427143943612,3.5433933834951925,1.1894512176513672,4.510683067914332,2.1528059660659213,0.0,0.7855558304905693,0.2636964734038276,1.6459418263181689,0.5525120407507013
CAMELS-BR,55747000,timesfm,0.9927829764127704,0.3862176421091061,0.8982292272548719,0.7541897101512458,4.546247191471631,2.88217076955196,0.0,0.1975759762777248,0.1658928074931871,0.31165024527485014,0.2616741929793724
CAMELS-BR,55779000,timesfm,0.5241219370766806,4.415444986226765,19.016346055597797,34.490230003586504,6.400687666971965,2.3027276188519568,1.3876296827967304e-16,2.970984844913397,5.388519452614242,8.258182991299053,14.977989459639991
CAMELS-BR,55780000,timesfm,0.6882857113799155,5.5054101791259695,15.652656071747652,24.187252795439143,9.860781290338448,5.45046248367081,1.8014362017548422e-16,1.5873646936155108,2.4528738731014865,2.871803286169178,4.437651459468329
CAMELS-BR,55780002,timesfm,0.9918779143218992,0.897106033337793,2.3279982682388614,3.3923037099791413,9.954283244545339,5.011572994579645,0.0,0.233869000012084,0.3407883447397407,0.46452446582275647,0.6768940038682759
CAMELS-BR,55790000,timesfm,0.2064519150866784,9.503438671866965,41.0992223487056,91.04795268128416,10.668273780944919,3.6257263558119166,4.995250991513962e-16,3.852471654984592,8.53445970274113,11.33544518130138,25.111644880573344
CAMELS-BR,55795000,timesfm,0.9214355038952976,0.736776032197169,2.566466723105479,5.008004331103086,2.628586813193199,3.3832806744576835,0.0,0.9763674953492381,1.905207888119692,0.7585733996239806,1.4802213629248582
CAMELS-BR,55800005,timesfm,0.9575598185379608,5.848857550030675,18.96969845793473,23.36977503264788,28.391113643757578,15.935037547115352,0.0,0.6681561947854638,0.8231369620045267,1.1904395205751321,1.4665654199778404
CAMELS-BR,55810000,timesfm,0.9843162804538466,3.693044031683447,6.884150121375802,12.80126953125,29.488993644466916,21.73842687902842,0.0,0.2334481198095239,0.4341033025944556,0.31668115451431794,0.5888774566111631
CAMELS-BR,55850000,timesfm,0.784793449500593,27.170221712659767,114.94348848658342,229.6377104519855,58.56868040472725,36.94042775705137,1.2131786662257635e-16,1.9625418857363566,3.920827801909137,3.111590619430292,6.216433441492868
CAMELS-BR,55884990,timesfm,0.893086543138083,7.48606248074262,29.84642083608764,56.18952352689666,22.894821482993933,9.097066799764029,4.655262782598359e-16,1.303631952677914,2.454245977354911,3.2808839918446933,6.176663837222144
CAMELS-BR,55884998,timesfm,0.5312408049002098,15.57890417527763,67.12716011980277,143.51434179961385,22.754222793284537,14.076934838655072,1.5613425741128873e-16,2.950096811903153,6.307152000022136,4.768592089768896,10.194999369147139
CAMELS-BR,55885000,timesfm,0.5989361198092882,6.3011741129316485,27.068131235425252,48.415301772541646,9.949808096853271,6.092524294777269,3.570635377303491e-16,2.72046766851572,4.865953323044842,4.442843380801785,7.946673567480885
CAMELS-BR,55885100,timesfm,0.953613058881825,4.847672579420418,15.685830878431313,6.541534423828125,22.507922528886887,19.05949549825673,0.0,0.6969026509798922,0.290632527965771,0.8229929737576743,0.3432165570398463
CAMELS-BR,55895000,timesfm,0.6725114721868459,16.768393275564286,69.4496048365168,142.58814838663724,29.301739675380894,22.08880618851082,3.637374829780634e-16,2.370152953575922,4.866200777370183,3.1441085699162876,6.45522203281418
CAMELS-BR,55900000,timesfm,0.6824534123484836,0.7959979275258493,3.114107860417894,4.621529924118013,1.4125642540186538,1.242418800997512,3.143851393567815e-16,2.204577845969455,3.271730762668006,2.5064880360130113,3.7197842791878903
CAMELS-BR,55920000,timesfm,0.8144359429220757,20.177939632540976,77.84251371594324,51.73341369628906,46.84140237267732,30.47429641063228,4.550735245543552e-16,1.6618314092438216,1.1044377639399041,2.5543662326781233,1.6976081416022328
CAMELS-BR,55960000,timesfm,0.9542629109074956,22.88889048442724,73.6179534657767,115.62649502791491,107.02629238696491,72.88917262545397,0.0,0.6878492361447333,1.0803559802843123,1.0099984787050282,1.5863329334532252
CAMELS-BR,55970000,timesfm,0.958304715035394,3.5620711406409407,11.020680213837007,2.1966168973498066,17.444523681538698,27.285015612813673,0.0,0.6317558687773197,0.12592014189957254,0.40390961728683933,0.0805063456265066
CAMELS-BR,55990200,timesfm,0.8647948179632394,0.9142304162517048,3.6814234564419897,1.1700856580113432,2.486331301175218,1.1928120828062492,5.358367281626801e-16,1.4806648875400819,0.47060729897832887,3.0863398430547004,0.9809471876396163
CAMELS-BR,56005000,timesfm,0.96452680152669,0.0774205178773037,0.1810461283630548,0.1672847439023205,0.411060643386059,0.9008605547688872,0.0,0.4404365420919665,0.406958794508601,0.2009702027740593,0.18569438190712753
CAMELS-BR,56010000,timesfm,0.7420775093304344,6.080123111444746,21.305864204629923,28.54001235961914,11.97202916208661,12.166955467286487,2.9675117147653997e-16,1.779636844863525,2.383890982324077,1.751125354400728,2.345698760577795
CAMELS-BR,56012000,timesfm,0.8179052996859886,0.6237085871018831,1.6880960741417346,1.403994528654814,1.4616152654561938,2.322742431524057,1.5191727274121454e-16,1.154952410554396,0.9605773570082442,0.7267685177792607,0.6044555391075321
CAMELS-BR,56028000,timesfm,0.7545629167566625,12.520254443799542,49.42274220794084,84.95844702874582,25.272200844539974,24.47071556606104,4.2173378970688977e-16,1.9556168658187347,3.361735194784232,2.0196688598876245,3.471841548703076
CAMELS-BR,56040000,timesfm,0.7477116413156619,0.315644937281458,0.6736969973928632,0.6975755826135097,0.6284203239542359,1.3001055948981142,1.7666886036391266e-16,1.072048391359673,1.110046184095583,0.5181863688892586,0.536553019501602
CAMELS-BR,56050000,timesfm,0.666844258523596,2.095383730245901,7.94503735475359,15.481122390811713,3.630278272769595,5.4948072881389045,2.4465849529009254e-16,2.18854775248185,4.264445099686787,1.4459173794691134,2.8174095248489017
CAMELS-BR,56055000,timesfm,0.807217488601513,11.914737712230062,45.77498516827693,69.72110499556604,27.136302355735626,24.81641173318257,2.6184213547057465e-16,1.6868541840447824,2.5692927533595795,1.844544878624422,2.80947567058377
CAMELS-BR,56065000,timesfm,0.7862285522606322,1.9709432553951267,8.022374275294252,13.9019532676994,4.262842349365949,4.22522573238035,4.1670713899716796e-16,1.8819307911979182,3.261193384213977,1.8986853681719666,3.290227350733166
CAMELS-BR,56075000,timesfm,0.9002771353294858,20.079209922264656,66.08298402485127,92.52587296103084,63.58420524810947,70.61155011193908,0.0,1.0392987341273106,1.4551707078823932,0.9358664966296765,1.3103504003856512
CAMELS-BR,56085000,timesfm,0.7419927196264214,2.484879510421282,10.39790234744349,15.382610111627086,4.8920327362696625,3.722239642381933,3.6311221432152183e-16,2.1254768534873367,3.1444209270269186,2.79345322881728,4.13262218167755
CAMELS-BR,56090000,timesfm,0.6856287799749751,1.9355150218247448,7.846891545701105,13.135614922021691,3.452034727241329,4.104921265035511,2.572912759802701e-16,2.273120685541856,3.805180410951118,1.9115814991480045,3.199967569148505
CAMELS-BR,56092000,timesfm,0.6801096823286319,9.439010764335588,37.929976904193424,43.08391241035576,16.68883165225561,14.71648864904727,2.1287971218286734e-16,2.2727760513461064,2.58160147505189,2.5773795508379624,2.9275945803243606
CAMELS-BR,56093000,timesfm,0.8466305617337282,17.363541975581395,62.68642895136076,79.75737063338056,44.3372658382324,43.384883641588935,1.602585821039495e-16,1.4138541871318038,1.798878869174768,1.44489102400794,1.8383677432967644
CAMELS-BR,56094000,timesfm,0.8454280710681883,19.146763369712133,69.25853316758781,88.26732420405517,48.70012284075424,47.64747929994278,2.9180326221497295e-16,1.4221428844041737,1.812466151115937,1.4535613254922173,1.852507740197731
CAMELS-BR,56097000,timesfm,0.8452453051112772,23.45934641428046,84.88990581238878,108.39802419085794,59.6340069601473,58.371423976817724,2.3830118819114316e-16,1.42351504015351,1.81772162758238,1.4543058919738345,1.8570392292281295
CAMELS-BR,56105000,timesfm,0.6157322448244033,0.8593388362970755,3.3111126296327225,4.378573946497555,1.386268860120342,1.1678852440380194,1.601742716097335e-16,2.3885068220787162,3.1585315608383873,2.8351352553992304,3.7491474173938744
CAMELS-BR,56110000,timesfm,0.8512046452209114,26.605805420578346,83.70879670342526,75.86345684743426,68.97341416171245,91.93586079233823,6.181014041968593e-16,1.2136385840950947,1.0998941805253786,0.9105130031088087,0.8251780773423355
CAMELS-BR,56110005,timesfm,0.8650994142304869,31.209586317857852,102.80421405733075,94.27012198851148,84.97302797253397,91.12184951663255,1.672395941897635e-16,1.2098452474891257,1.1094122951459684,1.1282059638019728,1.0345501379590003
CAMELS-BR,56130000,timesfm,0.1871445367685479,4.061667404402561,16.872636640576843,25.44604475884589,4.505030060180432,2.6351507460219286,5.914578201490753e-16,3.745288358830856,5.648362922982749,6.40291135755633,9.656390548912507
CAMELS-BR,56145000,timesfm,0.7653274331427998,2.398440353389227,9.682461889923982,20.92873449684477,4.951055112114434,2.946742080580739,1.793917457163617e-16,1.9556360554808927,4.227126142392462,3.2858192624770806,7.1023299374474504
CAMELS-BR,56148000,timesfm,0.3275779109070565,13.054547997661922,54.50972993296265,115.11970116015588,15.919918993518205,9.02600134339844,2.231615424831614e-16,3.423995433340853,7.231173802267892,6.03918921115946,12.75423044827638
CAMELS-BR,56150000,timesfm,0.6699538057268513,0.3614790091086645,1.2115656822419367,1.7795787230535318,0.6292101481186394,0.9062244316742386,1.7644709449533875e-16,1.9255342366370933,2.8282740327290257,1.336937782623653,1.963728477023933
