dataset,basin_id,n,ac1,nse_model,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_lin_shuf,gain_gbt_shuf,rho_absres_P,model,wet_dry
CAMELS-AUS,606195,406,0.9326235663702569,0.7828358,0.7758644,0.6605713367462158,0.12008852511644363,-0.05690126474051116,-0.019687359051574038,0.01215816235101519,-0.03616145138589277,-0.11040367613798963,0.22726776665523976,timesfm,5.500703219609816
CAMELS-AUS,607003,438,0.9518400796183845,0.859274,0.8985544,0.3911355137825012,0.13179847598075867,0.14667532840142394,0.15142965627673888,0.04045111640159815,0.013890041416379617,-0.041828644689483996,0.19478445536710678,timesfm,2.9676785780102897
CAMELS-AUS,607004,438,0.9311739314366995,0.8159602,0.8438033,0.6807016134262085,0.09442999213933945,-0.050951664292602006,-0.4309107414251394,-0.19565116645123237,-0.08334104141501952,-0.09722105245328416,0.29010337762074023,timesfm,7.208531929365996
CAMELS-AUS,607007,438,0.8945683328674795,0.7884394,0.773221,0.6401134133338928,0.13675937056541443,-0.04778334675674256,-0.3325711607122992,-0.11581005908322739,-0.04731634946553753,-0.04664205838525515,0.19096657389391544,timesfm,4.680581745056477
CAMELS-AUS,607013,438,0.985226499084761,0.95380694,0.96402764,0.2727009952068329,0.06292863935232162,0.17103208607763365,0.16614130617774703,0.13378943688002132,-0.039829031134708925,-0.038312245275569756,0.3184141238305881,timesfm,4.333495813886085
CAMELS-AUS,607144,438,0.9603002490107031,0.8916322,0.9340135,0.44606655836105347,0.07455307990312576,0.2002023601856855,0.23490286716447795,0.14599604884752526,0.02688519944488732,0.012242645418981346,0.313038335325239,timesfm,5.983207654743065
CAMELS-AUS,607155,438,0.8349628746006674,0.6948455,0.629153,0.877657413482666,0.09515118598937988,0.21217154382639714,0.3229678185911299,-0.10154127924334344,-0.0009844989040292962,-0.07532461024817216,0.33988164585011305,timesfm,9.223820011876931
CAMELS-AUS,607220,438,0.9843125039806455,0.9565153,0.9691618,0.2589394152164459,0.07984018325805664,0.28745425819046344,0.35324643453620264,0.09824380760515017,0.05195978028839976,0.028614551975682634,0.30280309181980425,timesfm,3.243221704282805
CAMELS-AUS,608002,438,0.9296924009735572,0.81561184,0.86477506,0.43577733635902405,0.06009362265467644,0.39108406879253743,0.3297722802852937,0.22933250959710805,-0.003413129137435744,-0.12399237740566393,0.39915241561125814,timesfm,7.251640309042214
CAMELS-AUS,608151,438,0.9846129447565497,0.957905,0.96783495,0.255299836397171,0.069930300116539,-0.05471860323092126,-0.6144680871298649,0.043968106892480874,0.020228719774406767,-0.19257163387242837,0.2633980532892576,timesfm,3.6507756433436334
CAMELS-AUS,609002,438,0.9730157044820189,0.90752554,0.9473004,0.4381614923477173,0.07716848701238632,0.18682820750578744,0.33699865138471785,0.21413976510236465,0.046341429985924165,-0.047885707535959554,0.2609486086912958,timesfm,5.6779847488442785
CAMELS-AUS,609005,438,0.4784639538694578,0.17743951,0.036979973,1.9114887714385986,0.07003789395093918,0.05480342768460689,0.013935292490696805,-0.015289576274387429,0.0013859959937265742,0.002152451442044123,0.2853096058716118,timesfm,27.292208026380358
CAMELS-AUS,609010,438,0.7156452549600933,0.36950785,0.4196033,0.8919605016708374,0.6926342844963074,0.019242178841250235,0.012754930523457109,0.0001040259044372549,0.010333737636331164,0.014878791085117027,0.16420390371878948,timesfm,1.2877798885157448
CAMELS-AUS,609018,438,0.8939824935469465,0.6701795,0.68730116,0.7066460251808167,0.08667398244142532,-1.2436208049771507,-0.6757942734854516,-1.266118707964273,-0.440663075432431,-0.8055645449341036,0.14665290733956066,timesfm,8.152919772186207
CAMELS-AUS,610001,438,0.9480339127380832,0.91807127,0.92097163,0.4041614532470703,0.061997924000024796,0.26828660856994,0.4247806862248287,0.4320891785896819,-0.006657588275137405,0.019778018567962907,0.38214914733216404,timesfm,6.518951396613033
CAMELS-AUS,610008,438,0.9621026833191746,0.9438501,0.9512856,0.45599451661109924,0.116520456969738,0.015661123999723747,0.03658763117605379,0.046955010726521196,-0.029967272833239855,-0.061663398206640796,0.369581115281495,timesfm,3.9134288387619987
CAMELS-AUS,611004,437,0.9061929990107087,0.765417,0.75624216,0.6397128701210022,0.06262396275997162,0.2915072875332222,0.38142140910232325,0.3277310523269287,0.02281833086374352,-0.08376918889362739,0.29806940606795085,timesfm,10.215145160534266
CAMELS-AUS,611111,438,0.8333626712659915,0.6664574,0.68609214,1.0130393505096436,0.1111307367682457,-0.015123811677978605,0.33299676135451994,0.3413866814788581,-0.023576066572072563,-0.106885684529747,0.2727215100766419,timesfm,9.115744032384637
CAMELS-AUS,612001,438,0.9119170983129972,0.7665025,0.8015392,1.1101479530334473,0.0776907354593277,0.3022274587890822,0.3570809377973083,0.1372498663651167,0.017284258736280145,-0.04328547429703611,0.38232908759825385,timesfm,14.289322227032166
CAMELS-AUS,612014,438,0.8445888403218587,0.6346934,0.6568539,1.7289822101593018,0.24598443508148193,0.2813330356281101,0.02731907485323204,-0.08487018847795524,-0.019000808089242094,-0.05173216242277667,0.39011932335950084,timesfm,7.02882769629948
CAMELS-AUS,612025,438,0.8388959023596907,0.62973833,0.62894833,1.217768907546997,0.281808078289032,0.059342208961951304,0.041619353878301624,-0.05470847605699669,-0.006460745588233063,0.014846515336857213,0.3404113286200403,timesfm,4.32127040126228
CAMELS-AUS,612034,438,0.9527119203869607,0.86665833,0.94148797,0.6010406613349915,0.20028294622898102,-0.03191240823651165,-0.09244595150732104,-0.04873395744747189,-0.02542806905081907,-0.09077265666308998,0.34427222480186237,timesfm,3.0009577582697884
CAMELS-AUS,612230,438,0.6265010543231119,0.36206645,0.43506223,2.128971815109253,0.08631706237792969,0.4959286940211932,0.2685774437404784,0.13028984656791998,0.01534480590123144,-0.008238087777082237,0.43946920172168696,timesfm,24.664553640481714
CAMELS-AUS,613002,438,0.9494178497629178,0.90101457,0.9231365,0.49905213713645935,0.08739831298589706,-0.011520089930794342,0.26125831506769515,0.25381956858805144,-0.006414842307780555,-0.09469201616772582,0.28223826035111066,timesfm,5.7100889031689706
CAMELS-AUS,613146,438,0.8693481081308675,0.65153575,0.7411264,1.049619197845459,0.07489613443613052,0.15375405454919855,-0.040564400008451074,0.009174312400956897,-0.0060065887374958216,-0.030798338639137723,0.3104184817351942,timesfm,14.014330722776446
CAMELS-AUS,614006,438,0.9601140324072593,0.9093809,0.9460268,0.436023473739624,0.08335241675376892,-0.013365444892210476,0.07232874210599105,0.036059056172393134,0.010336916106473582,-0.0688167881631907,0.3164663383536208,timesfm,5.231083761226497
CAMELS-AUS,614037,438,0.8384927309889146,0.687695,0.72902143,1.1724517345428467,0.16737373173236847,0.18473020351838398,0.12060760028037232,0.13416088387389935,-0.1005993723159877,-0.08815408690684201,0.26670060437787213,timesfm,7.0049924943873725
CAMELS-AUS,614044,438,0.8847793893238357,0.62065107,0.6935471,1.5620641708374023,0.3992229700088501,-0.3187471189699742,-0.4462091213108872,-0.6330708586574243,-0.011817445008115435,-0.09304904427032934,0.3451549490152826,timesfm,3.912761259210045
CAMELS-AUS,614196,437,0.9129938952646112,0.870479,0.8525181,0.7527971863746643,0.11057477444410324,-0.014990465284081322,0.23847009086232762,-0.08153228411856706,0.015203860278477532,0.028695580484339955,0.38485578255916847,timesfm,6.808037277572848
CAMELS-AUS,614224,438,0.9164677835047043,0.78851783,0.785812,0.6424801349639893,0.11852312088012695,0.11334588337628881,0.15447300727413238,0.09291414162836897,0.008789828715193071,0.021533144455179287,0.25697862755785134,timesfm,5.420715639219346
CAMELS-AUS,616001,397,0.8750987066418401,0.74689996,0.84317005,1.01841402053833,0.12883640825748444,0.19361018780044947,-0.07547975863613576,0.04939704495263553,-0.005119572846588261,-0.21170107226955714,0.3787146022566277,timesfm,7.9047067076178585
CAMELS-AUS,616002,418,0.8763279009166068,0.47258204,0.6760783,3.062225580215454,0.9336323142051697,-1.8685534520799805,-0.6269631805494749,-152.35837310162862,-0.2463037725559638,-0.4771728442475043,0.3475970045326531,timesfm,3.2799053049298346
CAMELS-AUS,616006,438,0.9726615538791825,0.9328924,0.9539572,0.5683718919754028,0.09248054027557373,0.09526475822763092,0.12040868990774312,0.22541207686695552,0.030435886923976474,-0.16074687084618566,0.4370675307603782,timesfm,6.145853930802815
